ID,FK_ID,ChildNodeID,value
73236,11432,10070,2
73237,11432,10264,4
73238,11432,10007,2
73239,11433,10361,100
73240,11434,10323,100
73241,11435,10019,6
73242,11435,10162,2
73243,11435,10028,2
73244,11435,10006,2
73245,11435,10022,33
73246,11435,10008,3
73247,11435,10161,2
73248,11435,10057,3
73249,11435,11276,6
73250,11435,10032,16
73251,11435,10103,3
73252,11435,10338,3
73253,11435,10163,9
73254,11435,10070,2
73255,11435,10007,3
73256,11435,10144,3
73257,11437,10006,1
73258,11437,11972,2
73259,11437,10657,3
73260,11437,12141,1
73261,11437,10028,3
73262,11437,11971,2
73263,11437,10022,8
73264,11437,10019,24
73265,11437,10008,2
73266,11437,10057,3
73267,11437,11276,4
73268,11437,11992,1
73269,11437,10147,2
73270,11437,12011,1
73271,11437,10032,15
73272,11437,10144,3
73273,11437,10338,1
73274,11437,10163,6
73275,11437,10070,2
73276,11437,10264,3
73277,11437,10007,2
73278,11438,10383,100
73279,11439,10282,95
73280,11439,10379,5
73281,11440,10332,38
73282,11440,10281,58
73283,11440,10323,4
73284,11441,10022,18
73285,11441,10080,1
73286,11441,10028,6
73287,11441,10006,2
73288,11441,10569,19
73289,11441,10019,6
73290,11441,10008,3
73291,11441,10057,2
73292,11441,11276,4
73293,11441,10032,18
73294,11441,10103,3
73295,11441,10338,2
73296,11441,10163,6
73297,11441,10070,1
73298,11441,10130,1
73299,11441,10007,4
73300,11441,10144,2
73302,11443,10022,6
73303,11443,10028,6
73304,11443,11276,2
73305,11443,10070,1
73306,11443,10264,2
73307,11443,10032,15
73308,11443,11971,1
73309,11443,10008,3
73310,11443,10006,2
73311,11443,10144,2
73312,11443,10163,3
73313,11443,11976,2
73314,11443,10019,12
73315,11443,10569,11
73316,11443,10657,2
73317,11443,10057,3
73318,11443,10147,2
73319,11443,10007,2
73320,11444,10281,7
73321,11444,10283,42
73322,11444,10332,2
73323,11444,10282,11
73324,11444,10380,22
73325,11444,10431,16
73326,11445,10332,89
73327,11445,10566,9
73328,11445,10379,1
73329,11446,10279,100
73330,11447,10282,100
73331,11448,10323,100
73332,11449,10361,100
73333,11450,10375,100
73334,11451,10283,78
73335,11451,10328,5
73336,11451,10383,7
73337,11451,10281,10
73338,11452,10279,100
73339,11453,10809,1
73340,11453,10283,47
73341,11453,10292,2
73342,11453,10383,24
73343,11453,10323,1
73344,11453,10432,2
73345,11453,10281,2
73346,11453,10431,22
73347,11454,10290,4
73348,11454,10430,11
73349,11454,10279,17
73350,11454,10436,15
73351,11454,10332,7
73352,11454,10429,18
73353,11454,10330,16
73354,11454,10278,13
73355,11455,10375,31
73356,11455,10430,69
73357,11456,10383,8
73358,11456,10283,92
73359,11457,10279,100
73360,11458,10290,13
73361,11458,10430,8
73362,11458,10279,7
73363,11458,10436,6
73364,11458,10332,38
73365,11458,10429,7
73366,11458,10330,1
73367,11458,10278,21
73368,11459,10332,1
