Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,Z13_HASPROCESS,ZALLFLOWS,ZBILLCYCLEEND,ZJUMBOFLOWS,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWIREDIN,ZWIREDOUT,ZWWANIN,ZWWANOUT,ZXIN,ZXOUT
80,9,21,0,0,0,80,13,34.0,,0.0,606524574.766249,3599494.0,193953.0,0.0,0.0,32944.0,18054.0,0.0,0.0
81,9,50,0,0,0,81,13,134.0,,0.0,606525167.078731,1219152.0,8132466.0,0.0,0.0,238710.0,144678.0,0.0,0.0
82,9,35,1,0,0,82,14,5.0,,0.0,606525167.121263,16647.0,11435.0,0.0,0.0,10476.0,6262.0,0.0,0.0
83,9,8,0,0,0,83,13,8.0,,0.0,606525354.581118,81162.0,46442.0,0.0,0.0,30248.0,23923.0,0.0,0.0
84,9,10,1,0,0,84,14,47.0,,0.0,606530933.66625,40790.0,6665.0,0.0,0.0,202794.0,154211.0,0.0,0.0
85,9,1031,0,0,0,85,13,3983.0,,3.0,606530962.659918,2064448601.0,79266179.0,0.0,0.0,4019772.0,1939633.0,0.0,0.0
86,9,22,0,0,0,86,13,28.0,,0.0,606530969.124757,111712.0,38097.0,0.0,0.0,40715.0,16202.0,0.0,0.0
87,9,2,0,0,0,87,13,1.0,,0.0,606531126.940677,0.0,0.0,0.0,0.0,5937.0,2465.0,0.0,0.0
88,9,1,0,0,0,88,13,1.0,,0.0,606531128.23775,0.0,0.0,0.0,0.0,4547.0,5448.0,0.0,0.0
89,9,27,1,0,0,89,14,73.0,,0.0,606531136.614732,1993424.0,294558.0,0.0,0.0,13096.0,9131.0,0.0,0.0
90,9,9,0,0,0,90,13,11.0,,0.0,606531414.475094,43302.0,14451.0,0.0,0.0,14149.0,6012.0,0.0,0.0
91,9,123,1,0,0,91,14,1873.0,,6.0,606531486.680188,788332005.0,21261363.0,0.0,0.0,821162.0,62700.0,0.0,0.0
92,9,384,0,0,0,92,13,755.0,,0.0,606532133.490123,3846996.0,1257093.0,0.0,0.0,8680.0,2723.0,0.0,0.0
93,9,19,1,0,0,93,14,1.0,,0.0,606532133.491852,0.0,0.0,0.0,0.0,8792.0,2686.0,0.0,0.0
94,9,35,1,0,0,94,14,1678.0,,0.0,606532133.539835,71669747.0,7054286.0,0.0,0.0,652682.0,86795.0,0.0,0.0
95,9,357,1,0,0,95,14,1119.0,,0.0,606532290.369534,6959397.0,3924548.0,0.0,0.0,6062597.0,437055.0,0.0,0.0
96,9,19,1,0,0,96,14,40.0,,0.0,606532592.359903,324201.0,54461.0,0.0,0.0,1444148.0,170844.0,0.0,0.0
97,9,7,0,0,0,97,13,31.0,,0.0,606532677.439136,75712.0,33983.0,0.0,0.0,15406.0,7057.0,0.0,0.0
