id,startTime,activityType,isStanding,mets,natalies,basalNatalies,overrideSet,truthMets,sessionUUID
22755,608182354.0363822,1,0,0.9232041239738464,30664635,30236497,0,0.9232041239738464,
22756,608182364.3079158,1,0,0.9232041239738464,30664850,30236712,0,0.9232041239738464,
22757,608182384.8502325,0,0,0.9232040643692017,30665280,30237142,0,0.9232040643692017,
22758,608182395.1217033,1,0,0.9232041239738464,30665495,30237357,0,0.9232041239738464,
22759,608182425.9335103,0,0,0.9232040643692017,30666140,30238002,0,0.9232040643692017,
22760,608182436.2026343,1,0,0.9232041239738464,30666355,30238217,0,0.9232041239738464,
22761,608182467.0114605,0,0,0.9232040643692017,30667000,30238862,0,0.9232040643692017,
22762,608182477.2807515,1,0,0.9232041239738464,30667215,30239077,0,0.9232041239738464,
22763,608182569.7096041,0,0,0.9232040643692017,30669150,30241012,0,0.9232040643692017,
22764,608182579.9815931,1,0,0.9232041239738464,30669365,30241227,0,0.9232041239738464,
22765,608182600.5250993,0,0,0.9232040643692017,30669795,30241657,0,0.9232040643692017,
22766,608182610.7971253,1,0,0.9232041835784912,30670010,30241872,0,0.9232041835784912,
22767,608182621.0678848,0,0,0.9232040643692017,30670225,30242087,0,0.9232040643692017,
22768,608182631.338182,1,0,0.9232041239738464,30670440,30242302,0,0.9232041239738464,
22769,608182641.6097972,1,0,0.9232041239738464,30670655,30242517,0,0.9232041239738464,
22770,608182682.6938492,0,0,0.9232040643692017,30671515,30243377,0,0.9232040643692017,
22771,608182692.965896,1,0,0.9232041239738464,30671730,30243592,0,0.9232041239738464,
22772,608182703.2368938,1,0,0.9232041239738464,30671945,30243807,0,0.9232041239738464,
22773,608182713.5079286,1,0,0.9232041239738464,30672160,30244022,0,0.9232041239738464,
22774,608182785.3989184,0,0,0.9232040643692017,30673665,30245527,0,0.9232040643692017,
22775,608182795.6693527,1,0,0.9232041835784912,30673880,30245742,0,0.9232041835784912,
22776,608182949.7305094,0,0,0.9232040643692017,30677105,30248967,0,0.9232040643692017,
22777,608182960.0010918,1,0,0.9232041239738464,30677320,30249182,0,0.9232041239738464,
22778,608183031.8933451,0,0,0.9232040643692017,30678825,30250687,0,0.9232040643692017,
22779,608183042.1630598,1,0,0.9232041239738464,30679040,30250902,0,0.9232041239738464,
22780,608183083.2332534,0,0,0.9232040643692017,30679899,30251761,0,0.9232040643692017,
22781,608183093.5041126,1,0,0.9232041239738464,30680114,30251976,0,0.9232041239738464,
22782,608183103.7746246,1,0,0.9232041239738464,30680329,30252191,0,0.9232041239738464,
22783,608183216.7633101,0,0,0.9232040643692017,30682694,30254556,0,0.9232040643692017,
22784,608183227.0355579,1,0,0.9232041239738464,30682909,30254771,0,0.9232041239738464,
22785,608183247.579222,0,0,0.9232040643692017,30683339,30255201,0,0.9232040643692017,
22786,608183257.8498054,1,0,0.9232041239738464,30683554,30255416,0,0.9232041239738464,
