id,minlat,maxlat,minlong,maxlong
1182,27.0,27.5,-99.5,-99.0
1181,27.0,27.5,-99.5,-99.0
4821,35.0,35.5,-111.5,-111.0
4046,34.0,34.5,-111.5,-111.0
3743,33.5,34.0,-111.5,-111.0
3469,33.0,33.5,-111.5,-111.0
3470,33.0,33.5,-111.5,-111.0
3471,33.0,33.5,-111.5,-111.0
4820,35.0,35.5,-111.0,-110.5
4045,34.0,34.5,-111.0,-110.5
3468,33.0,33.5,-111.0,-110.5
4375,34.5,35.0,-110.5,-110.0
4044,34.0,34.5,-110.5,-110.0
4043,34.0,34.5,-110.0,-109.5
4042,34.0,34.5,-109.5,-109.0
5228,35.5,36.0,-109.0,-108.5
5983,36.5,37.0,-111.5,-111.0
6279,37.0,37.5,-109.0,-108.5
6569,37.5,38.0,-109.5,-109.0
5229,35.5,36.0,-114.5,-114.0
4827,35.0,35.5,-114.5,-114.0
4826,35.0,35.5,-114.5,-114.0
4383,34.5,35.0,-114.5,-114.0
4382,34.5,35.0,-114.5,-114.0
4053,34.0,34.5,-114.5,-114.0
4052,34.0,34.5,-114.5,-114.0
4051,34.0,34.5,-114.5,-114.0
4050,34.0,34.5,-114.5,-114.0
4049,34.0,34.5,-114.5,-114.0
5985,36.5,37.0,-114.5,-114.0
5986,36.5,37.0,-114.5,-114.0
4825,35.0,35.5,-114.0,-113.5
5984,36.5,37.0,-114.0,-113.5
5683,36.0,36.5,-112.5,-112.0
4048,34.0,34.5,-112.5,-112.0
3750,33.5,34.0,-112.5,-112.0
3749,33.5,34.0,-112.5,-112.0
3748,33.5,34.0,-112.5,-112.0
3747,33.5,34.0,-112.5,-112.0
6280,37.0,37.5,-113.0,-112.5
6281,37.0,37.5,-113.5,-113.0
6282,37.0,37.5,-113.5,-113.0
6283,37.0,37.5,-113.5,-113.0
6284,37.0,37.5,-114.0,-113.5
6285,37.0,37.5,-114.0,-113.5
6570,37.5,38.0,-113.0,-112.5
6571,37.5,38.0,-113.5,-113.0
6572,37.5,38.0,-113.5,-113.0
6573,37.5,38.0,-113.5,-113.0
6574,37.5,38.0,-114.0,-113.5
6843,38.0,38.5,-113.0,-112.5
5988,36.5,37.0,-119.5,-119.0
5697,36.0,36.5,-119.5,-119.0
5696,36.0,36.5,-119.5,-119.0
5695,36.0,36.5,-119.5,-119.0
5694,36.0,36.5,-119.5,-119.0
4838,35.0,35.5,-119.5,-119.0
4839,35.0,35.5,-119.5,-119.0
4840,35.0,35.5,-119.5,-119.0
5237,35.5,36.0,-119.5,-119.0
5238,35.5,36.0,-119.5,-119.0
5239,35.5,36.0,-119.5,-119.0
5240,35.5,36.0,-119.5,-119.0
4834,35.0,35.5,-119.0,-118.5
4835,35.0,35.5,-119.0,-118.5
4836,35.0,35.5,-119.0,-118.5
4837,35.0,35.5,-119.0,-118.5
5693,36.0,36.5,-119.0,-118.5
5987,36.5,37.0,-118.5,-118.0
4392,34.5,35.0,-118.5,-118.0
4393,34.5,35.0,-118.5,-118.0
4394,34.5,35.0,-118.5,-118.0
4395,34.5,35.0,-118.5,-118.0
4833,35.0,35.5,-118.5,-118.0
6286,37.0,37.5,-118.5,-118.0
6575,37.5,38.0,-119.0,-118.5
7124,38.5,39.0,-119.5,-119.0
7433,39.0,39.5,-119.0,-118.5
7434,39.0,39.5,-119.5,-119.0
7758,39.5,40.0,-119.0,-118.5
7759,39.5,40.0,-119.5,-119.0
8082,40.0,40.5,-118.5,-118.0
5245,35.5,36.0,-121.0,-120.5
5246,35.5,36.0,-121.0,-120.5
5247,35.5,36.0,-121.0,-120.5
5243,35.5,36.0,-120.5,-120.0
5244,35.5,36.0,-120.5,-120.0
5241,35.5,36.0,-120.0,-119.5
5242,35.5,36.0,-120.0,-119.5
5248,35.5,36.0,-121.5,-121.0
5701,36.0,36.5,-120.5,-120.0
5700,36.0,36.5,-120.0,-119.5
5699,36.0,36.5,-120.0,-119.5
5698,36.0,36.5,-120.0,-119.5
5702,36.0,36.5,-121.5,-121.0
6603,37.5,38.0,-123.0,-122.5
6604,37.5,38.0,-123.0,-122.5
6605,37.5,38.0,-123.0,-122.5
6606,37.5,38.0,-123.0,-122.5
6600,37.5,38.0,-122.5,-122.0
6599,37.5,38.0,-122.5,-122.0
6598,37.5,38.0,-122.5,-122.0
6597,37.5,38.0,-122.5,-122.0
6596,37.5,38.0,-122.5,-122.0
6595,37.5,38.0,-122.5,-122.0
6594,37.5,38.0,-122.5,-122.0
6601,37.5,38.0,-122.5,-122.0
6602,37.5,38.0,-122.5,-122.0
6865,38.0,38.5,-122.5,-122.0
6866,38.0,38.5,-122.5,-122.0
6867,38.0,38.5,-122.5,-122.0
6868,38.0,38.5,-122.5,-122.0
6869,38.0,38.5,-122.5,-122.0
6870,38.0,38.5,-123.0,-122.5
6871,38.0,38.5,-123.0,-122.5
6872,38.0,38.5,-123.0,-122.5
6873,38.0,38.5,-123.0,-122.5
6874,38.0,38.5,-123.0,-122.5
6875,38.0,38.5,-123.5,-123.0
7138,38.5,39.0,-122.5,-122.0
7139,38.5,39.0,-122.5,-122.0
7140,38.5,39.0,-123.0,-122.5
7141,38.5,39.0,-123.0,-122.5
7142,38.5,39.0,-123.0,-122.5
7143,38.5,39.0,-123.0,-122.5
7144,38.5,39.0,-123.0,-122.5
7145,38.5,39.0,-123.5,-123.0
7146,38.5,39.0,-124.0,-123.5
5994,36.5,37.0,-121.0,-120.5
5993,36.5,37.0,-120.5,-120.0
5990,36.5,37.0,-120.0,-119.5
5989,36.5,37.0,-120.0,-119.5
5991,36.5,37.0,-120.0,-119.5
5992,36.5,37.0,-120.0,-119.5
6292,37.0,37.5,-121.0,-120.5
6293,37.0,37.5,-121.0,-120.5
6294,37.0,37.5,-121.0,-120.5
6295,37.0,37.5,-121.0,-120.5
6296,37.0,37.5,-121.0,-120.5
6290,37.0,37.5,-120.5,-120.0
6291,37.0,37.5,-120.5,-120.0
6287,37.0,37.5,-120.0,-119.5
6288,37.0,37.5,-120.0,-119.5
6289,37.0,37.5,-120.0,-119.5
6856,38.0,38.5,-122.0,-121.5
6857,38.0,38.5,-122.0,-121.5
6858,38.0,38.5,-122.0,-121.5
6859,38.0,38.5,-122.0,-121.5
6860,38.0,38.5,-122.0,-121.5
6861,38.0,38.5,-122.0,-121.5
6862,38.0,38.5,-122.0,-121.5
