ID,timestamp,cellId,dataActive,dataAttached,dataInd,home,lac,operator,status,subsId
3073,1586950130.0068593,,,,None,,,,NotRegistered,
3074,1586950146.8029513,,,,None,,,Google Fi,NotRegistered,
3075,1586950148.1414933,,,,None,,,,NotRegistered,
3076,1586950148.14191,,,,None,,,Google Fi,NotRegistered,
3077,1586950150.103085,,,,None,,,,NotRegistered,
3078,1586950150.1116242,,,,None,,,Google Fi,NotRegistered,
3079,1586950150.111802,,,,None,,,,NotRegistered,
3080,1586950150.111947,,,,None,,,Google Fi,NotRegistered,
3081,1586950150.1357403,,,,None,,,Google Fi,RegisteredHome,
3082,1586950150.1368892,,,,2_5G,,,Google Fi,RegisteredHome,
3083,1586950220.4544263,,,,4G,,,Google Fi,RegisteredHome,
3084,1586950254.20613,,,,2G,,,Google Fi,RegisteredHome,
3085,1586950254.9485483,,,,2_5G,,,Google Fi,RegisteredHome,
3086,1586950266.1228862,,,,4G,,,Google Fi,RegisteredHome,
3087,1586950300.84153,,,,2G,,,Google Fi,RegisteredHome,
3088,1586950301.5225902,,,,2_5G,,,Google Fi,RegisteredHome,
3089,1586950342.9969583,,,,4G,,,Google Fi,RegisteredHome,
3090,1586950364.355019,,,,2G,,,Google Fi,RegisteredHome,
3091,1586950364.8608742,,,,2_5G,,,Google Fi,RegisteredHome,
3092,1586950389.3562481,,,,4G,,,Google Fi,RegisteredHome,
3093,1586950433.03235,,,,4G,,,,RegisteredHome,
3094,1586950433.062659,,,,4G,,,,NotRegistered,
3095,1586950433.077866,,,,None,,,,NotRegistered,
3096,1586950446.922991,,,,None,,,Google Fi,NotRegistered,
