ID,timestamp,timestampLogged,BBDate,C0TBSzArr_0,C0TBSzArr_1,C0TBSzArr_2,C0TBSzArr_3,C0TBSzArr_4,C0TBSzArr_5,C0TBSzArr_6,C0TBSzArr_7,C0TBSzArr_8,C0TBSzArr_9,C0TBSzArr_10,C0TBSzArr_11,C0TBSzArr_12,C0TBSzArr_13,C0TBSzArr_14,C0TBSzArr_15,C1TBSzArr_0,C1TBSzArr_1,C1TBSzArr_2,C1TBSzArr_3,C1TBSzArr_4,C1TBSzArr_5,C1TBSzArr_6,C1TBSzArr_7,C1TBSzArr_8,C1TBSzArr_9,C1TBSzArr_10,C1TBSzArr_11,C1TBSzArr_12,C1TBSzArr_13,C1TBSzArr_14,C1TBSzArr_15,CAFreqInfo_0,CAFreqInfo_1,CAFreqInfo_2,CAFreqInfo_3,CASCCStateArr_0,CASCCStateArr_1,CASCCStateArr_2,CASCCStateArr_3,DupMode,LogDuration,SeqNum,SleepStateArr_0,SleepStateArr_1,SleepStateArr_2,SleepStateArr_3,SleepStateArr_4,SleepStateArr_5,TxPwrBktArr_0,TxPwrBktArr_1,TxPwrBktArr_2,TxPwrBktArr_3,TxPwrBktArr_4,TxPwrBktArr_5,TxPwrBktArr_6,TxPwrBktArr_7,TxPwrBktArr_8,TxPwrBktArr_9,TxPwrBktArr_10,TxPwrBktArr_11,kRfActRxTxArr_0,kRfActRxTxArr_1,kRfActRxTxArr_2,kRfActRxTxArr_3,kRfActRxTxArr_4,kRfActRxTxArr_5
25357,1586916746.0836082,1586916911.0652492,1586916716.878,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,367319,0,0,0,367319.0,107,0,23180,0,0,0,344153,367319,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0
25358,1586916746.0896082,1586916911.083115,1586916716.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,186,0,0,0,186.0,108,0,0,0,0,0,185,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25359,1586916910.7526078,1586917237.357567,1586916881.547,0,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,5395103,0,0,0,5395103.0,135,0,267013,393,0,0,5127775,5395102,0,0,0,0,0,0,0,0,0,0,0,0,1802,0,0,0,0
25360,1586916941.855608,1586917237.3762789,1586916912.65,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,1019005,0,0,0,1019004.0,145,0,64318,0,0,0,954710,1019005,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0
25361,1586916941.8586082,1586917237.3819818,1586916912.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,106,0,0,0,107.0,146,0,106,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25362,1586916979.0486078,1586917237.3885021,1586916949.843,0,1539,0,32,0,0,0,32,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,1218504,0,0,0,1218504.0,164,0,137373,491,7175,1113,1072378,1212478,0,0,0,0,0,0,950,589,425,2064,1998,0,1638,5930,76798,32,0
25363,1586916979.0546079,1586917237.3940701,1586916949.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,197,0,0,0,197.0,165,0,1,0,0,0,197,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25364,1586917148.860608,1586917237.402484,1586917119.655,0,3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,5563606,0,0,0,5563607.0,217,0,422441,622,6028,1834,5132808,5559744,0,0,0,0,0,589,1048,32,425,1343,425,0,3571,3702,69689,98,0
25365,1586917148.863608,1586917237.407243,1586917119.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,0,0,86,0,0,0,86.0,218,0,86,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25366,1586917152.079608,1586917237.409847,1586917122.874,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,105383,0,0,0,105383.0,220,0,6535,0,0,0,98851,105383,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0
