ID,timestamp,timestampLogged,BBDate,DeepSleepDuration,Error,EventCode,LightSleepDuration,ML1State,Payload,SleepDisabledSclk,SleepEnableSclk,StateDuration,Version
11566,1586923840.8176079,1586924067.3050702,1586923811.612,58784,0,45452,0,0,"{length = 40, bytes = 0x03000000 00051f05 0a3835e7 ac2653e7 ... 00000000 00000000 }",3880986284,3879024650,59872,3
11567,1586923857.448608,1586924067.3274193,1586923828.243,3108,0,45452,0,1,"{length = 40, bytes = 0x03000000 01ffffff 839e59e7 34775be7 ... 00000000 00000000 }",3881531188,3881410179,3693,3
11568,1586924419.047608,1586924426.0992851,1586924389.842,26930,0,45452,12,0,"{length = 40, bytes = 0x03000000 00000000 8d7766e8 423c74e8 ... 00000000 00000000 }",3899931714,3899029389,27540,3
11569,1586924436.039608,1586925051.283125,1586924406.834,1260,0,45452,41,1,"{length = 40, bytes = 0x03000000 01000000 2bd87be8 fcba7ce8 ... 00000000 00000000 }",3900488444,3900430379,1772,3
11570,1586924860.9786081,1586925051.325974,1586924831.773,1143,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 ee8c50e9 602d51e9 ... 00000000 00000000 }",3914411360,3914370286,1254,3
11571,1586924877.348608,1586925051.334001,1586924848.143,3206,0,45452,6,1,"{length = 40, bytes = 0x03000000 01000000 3a6a57e9 805c59e9 ... 00000000 00000000 }",3914947712,3914820154,3893,3
11572,1586925770.770608,1586926084.349472,1586925741.565,3346,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 b64316eb 510618eb ... 00000000 00000000 }",3944220241,3944104886,3521,3
11573,1586925786.744608,1586926084.3511863,1586925757.539,12480,0,45452,71,1,"{length = 40, bytes = 0x03000000 01eaa8a0 21c918eb c50220eb ... 47000000 03000000 }",3944743621,3944270113,14452,3
11574,1586925881.1206079,1586926084.354844,1586925851.915,25946,0,45452,0,0,"{length = 40, bytes = 0x03000000 00fbffff 19e941eb a8314feb ... 00000000 00000000 }",3947835816,3946965273,26570,3
11575,1586925897.586608,1586926084.3722363,1586925868.381,3234,0,45452,77,1,"{length = 40, bytes = 0x03000000 01205862 817055eb 106d57eb ... 25000000 00000000 }",3948375312,3948245121,3974,3
