Z_PK,Z_ENT,Z_OPT,ZCHANNEL,ZRSSI,ZFINGERPRINT,ZAGE,ZDATE,ZMAC
23193,22,1,6,-75,563,4.185,608321645.591433,2:54:af:d1:21:60
23194,22,1,11,-80,563,3.597,608321646.179356,82:2a:a8:44:bd:c3
23195,22,1,5,-78,563,3.16,608321646.616404,60:31:97:2:c6:d8
23196,22,1,1,-78,563,3.469,608321646.307372,78:8a:20:b1:c7:35
23197,22,1,6,-87,563,7.477,608321642.299277,34:49:5b:c1:c9:36
23198,22,1,11,-84,563,3.636,608321646.140306,60:31:97:2:c5:78
23199,22,1,1,-74,563,3.379,608321646.397441,d8:d7:75:d5:e3:32
23200,22,1,11,-79,563,15.333,608321634.4433681,10:da:43:eb:1f:54
23201,22,1,1,-88,563,3.507,608321646.269273,fe:ec:da:b7:a9:77
23202,22,1,1,-77,563,3.49,608321646.286412,a0:4:60:3f:d2:94
23203,22,1,6,-89,563,4.181,608321645.595268,fa:8f:ca:32:98:2a
23204,22,1,149,-80,563,2.503,608321647.273364,a8:bd:27:8f:dc:f0
23205,22,1,11,-81,563,3.633,608321646.143352,50:6a:3:aa:7a:a3
23206,22,1,4,-82,563,3.145,608321646.631344,10:da:43:c2:1:3a
23207,22,1,4,-92,563,7.1,608321642.676231,ba:39:56:90:14:48
23208,22,1,11,-78,563,7.292,608321642.4844079,d0:bf:9c:c2:29:f7
23209,22,1,1,-70,563,3.418,608321646.358486,a8:bd:27:c9:8e:24
23210,22,1,153,-86,563,2.395,608321647.381282,50:6a:3:c9:e0:89
23211,22,1,8,-75,563,3.964,608321645.812437,10:da:43:90:f2:9f
23212,22,1,1,-71,563,3.522,608321646.254482,a8:bd:27:c9:8e:22
23213,22,1,8,-77,563,3.962,608321645.8144209,12:da:43:90:f2:a0
23214,22,1,5,-73,563,3.081,608321646.695474,50:c7:bf:6f:50:59
23215,22,1,11,-85,563,3.613,608321646.163294,f8:da:c:fd:a4:d1
23216,22,1,6,-81,563,4.214,608321645.562348,60:31:97:4:5c:d0
23217,22,1,3,-77,563,3.28,608321646.496425,ec:8:6b:bf:40:94
23218,22,1,149,-83,563,2.563,608321647.21334,a8:bd:27:c9:8e:30
23219,22,1,11,-80,563,3.639,608321646.13736,3c:28:6d:6b:7f:f7
23220,22,1,11,-74,563,3.747,608321646.0294651,80:2a:a8:44:bd:c3
23221,22,1,1,-86,563,3.491,608321646.285286,f8:bb:bf:b3:8f:e5
23222,22,1,11,-85,563,3.164,608321646.612302,70:77:81:dd:dd:a1
23223,22,1,11,-71,563,3.685,608321646.0914781,92:32:4b:a:32:d8
23224,22,1,153,-74,563,2.374,608321647.40247,8:bd:43:d3:18:23
23225,22,1,1,-69,563,3.487,608321646.28949,a4:11:62:55:e2:f0
23226,22,1,44,-84,563,2.73,608321647.0463309,34:fc:b9:32:d:f0
23227,22,1,1,-90,563,3.51,608321646.266241,a0:63:91:e9:b1:dd
23228,22,1,149,-83,563,2.563,608321647.213336,a8:bd:27:c9:8e:33
23229,22,1,6,-76,563,4.172,608321645.604429,18:60:24:3e:82:8d
23230,22,1,6,-86,563,4.154,608321645.62229,ae:ae:19:d7:de:8e
23231,22,1,1,-77,563,3.545,608321646.231416,8a:8a:20:b1:c7:35
23232,22,1,1,-78,563,3.494,608321646.2824,7a:8a:20:b1:c7:35
23233,22,1,1,-85,563,7.208,608321642.5682981,8:bd:43:d3:18:21
23234,22,1,2,0,563,3.434,608321646.342494,50:d4:f7:58:c:b5
23235,22,1,44,-83,563,0.022,608321659.355352,34:fc:b9:32:d:f4
23236,22,1,44,-87,563,0.098,608321659.2793419,10:da:43:90:f2:9e
23237,22,1,44,-83,563,0.022,608321659.35542,34:fc:b9:32:d:f0
23238,22,1,44,-82,563,0.022,608321659.355429,34:fc:b9:32:d:f3
23239,22,1,1,-74,563,13.094,608321646.388694,d8:d7:75:d5:e3:32
23240,22,1,1,-85,563,16.923,608321642.559648,8:bd:43:d3:18:21
23241,22,1,1,-88,563,13.216,608321646.2665881,80:2a:a8:44:bd:13
23242,22,1,1,-88,563,0.0,608321659.482596,88:3d:24:b9:a8:cf
23243,22,1,1,-90,563,0.021,608321659.461578,fe:ec:da:b7:a9:77
23244,22,1,1,-74,563,0.025,608321659.457703,a8:bd:27:c9:8e:24
23245,22,1,1,-82,563,0.028,608321659.454657,a4:11:62:55:e2:f0
23246,22,1,1,-70,563,0.036,608321659.4467189,78:8a:20:b1:c7:35
23247,22,1,1,-69,563,0.031,608321659.451727,a0:4:60:3f:d2:94
23248,22,1,1,-86,563,13.206,608321646.276631,f8:bb:bf:b3:8f:e5
23249,22,1,1,-74,563,0.026,608321659.4567109,a8:bd:27:c9:8e:22
23250,22,1,1,-90,563,13.224,608321646.258564,a0:63:91:e9:b1:dd
