ID,timestamp,timestampLogged,BBDate,ConnStates_0,ConnStates_1,ConnStates_2,LogDuration,SeqNum
26289,1587004537.883665,1587004590.320035,1587004506.685,1954769,0,0,1954769.0,8
26290,1587004537.8896651,1587004590.3230643,1587004506.691,196,0,0,196.0,9
26291,1587004589.8096652,1587005728.141549,1587004558.611,1701145,0,0,1701145.0,23
26292,1587004912.8616652,1587005728.1596472,1587004881.663,10584352,0,0,10584352.0,72
26293,1587004912.8746653,1587005728.168796,1587004881.676,417,0,0,417.0,73
26294,1587005085.6056652,1587005728.1740084,1587005054.407,5659441,0,0,5659441.0,80
26295,1587005085.6096652,1587005728.1766853,1587005054.411,121,0,0,121.0,81
26296,1587005212.830665,1587005728.1823773,1587005181.632,4168331,0,0,4168331.0,89
26297,1587005212.8436651,1587005728.1892412,1587005181.645,463,0,0,463.0,90
26298,1587005633.3666651,1587005728.2233653,1587005602.168,13778202,0,0,13778202.0,154
26299,1587005727.8156652,1587005728.2277472,1587005696.617,3094575,0,0,3094575.0,164
26300,1587005727.821665,1587006339.644149,1587005696.623,198,0,0,198.0,165
26301,1587005983.699665,1587006339.650323,1587005952.501,8383701,0,0,8383701.0,202
26302,1587005983.7076652,1587006339.656196,1587005952.509,281,0,0,281.0,203
26303,1587006120.8136652,1587006339.666687,1587006089.615,4492211,0,0,4492211.0,222
26304,1587006120.818665,1587006339.66995,1587006089.62,164,0,0,164.0,223
26305,1587006247.1416652,1587006339.682938,1587006215.943,4138902,0,0,4138902.0,249
26306,1587006247.1446652,1587006339.691792,1587006215.946,93,0,0,93.0,250
26307,1587006288.5536652,1587006339.702286,1587006257.355,1356751,0,0,1356751.0,10
26308,1587006288.558665,1587006339.7060251,1587006257.36,161,0,0,161.0,11
26309,1587006339.3286653,1587007027.1583912,1587006308.13,1663461,0,0,1663461.0,16
26310,1587006344.4176652,1587007027.1629853,1587006313.219,166640,0,0,166640.0,24
26311,1587006367.406665,1587007027.1667352,1587006336.208,753208,0,0,753208.0,36
26312,1587006370.719665,1587007027.1695323,1587006339.521,108558,0,0,108558.0,41
26313,1587006398.0606651,1587007027.1726513,1587006366.862,895812,0,0,895812.0,48
26314,1587006457.9176652,1587007027.1797812,1587006426.719,1961175,0,0,1961175.0,66
26315,1587006457.9276652,1587007027.1847322,1587006426.729,338,0,0,338.0,67
26316,1587006807.8236651,1587007027.1939974,1587006776.625,11464182,0,0,11464182.0,117
26317,1587006807.8296652,1587007027.1974974,1587006776.631,194,0,0,194.0,118
26318,1587007026.821665,1587007484.205872,1587006995.623,7175154,0,0,7175154.0,143
26319,1587007052.962665,1587007484.209191,1587007021.764,856302,0,0,856302.0,149
26320,1587007052.9766653,1587007484.211329,1587007021.778,485,0,0,485.0,150
26321,1587007168.8336651,1587007484.215909,1587007137.635,3795975,0,0,3795975.0,159
26322,1587007168.8386652,1587007484.2202501,1587007137.64,165,0,0,165.0,160
26323,1587007354.3006651,1587007484.2308602,1587007323.102,6076568,0,0,6076568.0,186
26324,1587007354.3036652,1587007484.233448,1587007323.105,94,0,0,94.0,187
26325,1587007418.1976652,1587007484.236669,1587007386.999,2093490,0,0,2093490.0,198
26326,1587007418.2086651,1587007484.2404232,1587007387.01,343,0,0,343.0,199
26327,1587007483.8686652,1587008190.4404392,1587007452.67,2151320,0,0,2151320.0,203
26328,1587007500.9116652,1587008190.4541602,1587007469.713,558324,0,0,558324.0,215
26329,1587007500.9156651,1587008190.4582522,1587007469.717,115,0,0,115.0,216
26330,1587007543.752665,1587008190.4624553,1587007512.554,1403543,0,0,1403543.0,223
26331,1587007543.758665,1587008190.4705143,1587007512.56,182,0,0,182.0,224
26332,1587007912.784665,1587008190.4765942,1587007881.586,12090964,0,0,12090964.0,235
26333,1587007912.7906651,1587008190.4833422,1587007881.592,187,0,0,187.0,236
26334,1587008111.219665,1587008190.4870582,1587008080.021,6501452,0,0,6501452.0,237
26335,1587008111.2246652,1587008190.490509,1587008080.026,164,0,0,164.0,238
26336,1587008189.9046652,1587008623.3167772,1587008158.706,2577912,0,0,2577912.0,239
26337,1587008212.7496653,1587008623.32203,1587008181.551,748308,0,0,748308.0,241
26338,1587008212.7546651,1587008623.325499,1587008181.556,164,0,0,164.0,242
26339,1587008318.410665,1587008623.328638,1587008287.212,3461760,0,0,3461760.0,243
26340,1587008318.416665,1587008623.331659,1587008287.218,190,0,0,190.0,244
26341,1587008375.863665,1587008623.335702,1587008344.665,1882226,0,0,1882226.0,246
26342,1587008375.8666651,1587008623.339694,1587008344.668,99,0,0,99.0,247
26343,1587008390.045665,1587008623.3446732,1587008358.847,464584,0,0,464584.0,6
26344,1587008503.7006652,1587008623.346569,1587008472.502,3723818,0,0,3723818.0,8
26345,1587008622.768665,1587009154.096747,1587008591.57,3901230,0,0,3901230.0,19
26346,1587008702.8626652,1587009154.106432,1587008671.664,2624062,0,0,2624062.0,21
26347,1587008702.867665,1587009154.117723,1587008671.669,143,0,0,143.0,22
26348,1587008953.7076652,1587009154.122492,1587008922.509,8218644,0,0,8218644.0,25
26349,1587008953.7116652,1587009154.126204,1587008922.513,149,0,0,149.0,26
26350,1587009029.742665,1587009154.130313,1587008998.544,2491133,0,0,2491133.0,28
26351,1587009029.752665,1587009154.134047,1587008998.554,300,0,0,300.0,29
26352,1587009112.7776651,1587009154.139394,1587009081.579,2720300,0,0,2720300.0,40
26353,1587009112.7836652,1587009154.142657,1587009081.585,168,0,0,168.0,41
26354,1587009153.551665,1587009410.046555,1587009122.353,1335754,0,0,1335754.0,45
26355,1587009277.9256651,1587009410.0524771,1587009246.727,4074765,0,0,4074765.0,63
26356,1587009277.929665,1587009410.0552762,1587009246.731,114,0,0,114.0,64
26357,1587009337.943665,1587009410.0603642,1587009306.745,1966336,0,0,1966336.0,87
26358,1587009337.9486651,1587009410.077639,1587009306.75,179,0,0,179.0,88
26359,1587009379.7216651,1587009410.0815282,1587009348.523,1368667,0,0,1368667.0,97
26360,1587009379.7316651,1587009410.0859222,1587009348.533,314,0,0,314.0,98
26361,1587009399.742665,1587009410.090362,1587009368.544,655642,0,0,655642.0,105
26362,1587009399.745665,1587009410.091578,1587009368.547,100,0,0,100.0,106
26363,1587009409.6686652,1587009862.2082002,1587009378.47,325141,0,0,325141.0,111
26364,1587009522.6056652,1587009862.3596091,1587009491.407,3700214,0,0,3700214.0,134
26365,1587009522.6086652,1587009862.363346,1587009491.41,93,0,0,93.0,135
26366,1587009712.9116652,1587009862.3684962,1587009681.713,6235173,0,0,6235173.0,160
26367,1587009712.923665,1587009862.3697333,1587009681.725,416,0,0,416.0,161
26368,1587009751.7346652,1587009862.3712392,1587009720.536,1271628,0,0,1271628.0,166
26369,1587009751.7406652,1587009862.372416,1587009720.542,187,0,0,187.0,167
26370,1587009807.7366652,1587009862.3739612,1587009776.538,1834662,0,0,1834662.0,172
26371,1587009807.7496653,1587009862.3755572,1587009776.551,451,0,0,451.0,173
26372,1587009861.795665,1587010480.62402,1587009830.597,1770785,0,0,1770785.0,175
26373,1587009950.0306652,1587010480.6410642,1587009918.832,2890846,0,0,2890846.0,193
26374,1587009950.035665,1587010480.648325,1587009918.837,167,0,0,167.0,194
26375,1587010238.0176651,1587010480.6620212,1587010206.819,9435583,0,0,9435583.0,243
26376,1587010238.022665,1587010480.6683083,1587010206.824,164,0,0,164.0,244
