composer_pid,composer,sort_composer,grouping_key,cloud_status,representative_item_pid,keep_local,keep_local_status,sync_id
2327885125939563513,"Arash Pournouri, Avicii, Cirkut, Etta James, Leroy Kirkland, Lukasz Gottwald, Pearl Woods & Tramar Dillard",,b'*L*N8\x04HFRLDFRL:\x06\x04*T:.::\x06\x04.:L>RP\x06\x042PP*\x04<*B2N\x06\x04@2LFZ\x04>:L>@*D0\x06\x04@R>*N\\\x046FPPV*@0\x06\x04H2*L@\x04VFF0N\x04\n\x90\x04PL*B*L\x040:@@*L0',0,8877232900939931039,0,0,0
2468762892632302397,Stephen Wilkinson,,b'NP2H82D\x04V:@>:DNFD',0,3300013925658268603,0,0,0
2470166747444432068,"Michael Balzary, John Frusciante, Anthony Kiedis & Chad Smith",,"b'B:.8*2@\x04,*@\\*LZ\x06\x04<F8D\x044LRN.:*DP2\x06\x04*DP8FDZ\x04>:20:N\x04\n\x90\x04.8*0\x04NB:P8'",0,1359453492144287604,0,0,0
2544041884633648053,"Ken Jordan, Scott Kirkland & Tom Morello",,b'>2D\x04<FL0*D\x06\x04N.FPP\x04>:L>@*D0\x04\n\x90\x04PFB\x04BFL2@@F',0,8877232900939930974,0,0,0
2830771402429119825,Mark Nishita,,b'B*L>\x04D:N8:P*',0,6834521314832366810,0,0,0
2901921492775976754,"Anthony Kiedis, Michael Balzary, Jack Sherman & Cliff Martinez",,"b'*DP8FDZ\x04>:20:N\x06\x04B:.8*2@\x04,*@\\*LZ\x06\x04<*.>\x04N82LB*D\x04\n\x90\x04.@:44\x04B*LP:D2\\'",0,1359453492144287601,0,0,0
3480865946588549776,Calvin Harris,,b'.*@T:D\x048*LL:N',0,8877232900939931074,0,0,0
3551188069059246663,"Gary Bartz, Michael Berrin, Sam Citrin & Peter J. Nash",,"b'6*LZ\x04,*LP\\\x06\x04B:.8*2@\x04,2LL:D\x06\x04N*B\x04.:PL:D\x04\n\x90\x04H2P2L\x04<\x08\x04D*N8'",0,8877232900939931075,0,0,0
3622650062152505299,Plump DJs,,b'H@RBH\x040<N',0,8877232900939930954,0,0,0
3696344148460821947,Tom Rowlands & Edmund Simons,,b'PFB\x04LFV@*D0N\x04\n\x90\x0420BRD0\x04N:BFDN',0,8877232900939931060,0,0,0
3910063507842243532,"Flea, John Frusciante, Chad Smith, Kiedis, Anthony Kiedis & Chad Smith",,b'4@2*\x06\x04<F8D\x044LRN.:*DP2\x06\x04.8*0\x04NB:P8\x06\x04>:20:N\x06\x04*DP8FDZ\x04>:20:N\x04\n\x90\x04.8*0\x04NB:P8',0,8877232900939931077,0,0,0
4055447358864425681,Andrew Taggart & Elizabeth M Mencel,,"b'*D0L2V\x04P*66*LP\x04\n\x90\x042@:\\*,2P8\x04B\x04B2D.2@'",0,8877232900939931047,0,0,0
4273172429642742289,"Talib Kweli, Kanye West & Nina Simone",,"b'P*@:,\x04>V2@:\x06\x04>*DZ2\x04V2NP\x04\n\x90\x04D:D*\x04N:BFD2'",0,8877232900939930966,0,0,0
