ID,timestamp,activeBand,airplaneMode,callStatus,campedRat,currentRat,dataStatus,preferredRat,signalBars,signalStrength,simStatus,subsId
44929,1586851677.0537882,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44930,1586851695.466031,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44931,1586851737.201898,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44932,1586851737.2476792,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44933,1586851749.0898752,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44934,1586851916.5545,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44935,1586851916.5829473,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44936,1586851925.0741062,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44937,1586852215.446454,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44938,1586852215.4471993,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44939,1586852229.107294,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44940,1586852441.555644,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44941,1586852441.5682762,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44942,1586852452.118967,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44943,1586852637.2015333,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44944,1586852637.2317502,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44945,1586852637.3437312,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44946,1586852653.0725913,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44947,1586852654.07797,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44948,1586852697.0061493,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44949,1586852697.037117,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44950,1586852708.894546,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44951,1586853117.627171,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44952,1586853117.7271533,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44953,1586853134.3730571,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44954,1586853460.42914,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44955,1586853460.4438221,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44956,1586853471.108982,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44957,1586853597.2802272,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44958,1586853597.326693,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44959,1586853614.1327362,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44960,1586853657.0748954,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44961,1586853657.1045833,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44962,1586853668.9514804,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44963,1586853944.824906,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44964,1586853944.8260581,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44965,1586853957.5241833,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44966,1586854133.375076,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44967,1586854133.387155,,off,Inactive,LTE,Automatic,,Automatic,1,0,,
44968,1586854141.153651,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44969,1586854303.094275,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
44970,1586854303.0952363,,off,Inactive,LTE,Automatic,,Automatic,2,0,,
